timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,latitude,longitude,gpsAltitude,Speed,SatCount,roll,pitch,yaw,pressure,temperature,paltitude
573763,0.07,-0.07,1.00,1.40,0.55,-0.06,15.00,-2.00,42.00,53.650894,9.698418,4.80,0.04,12,3.88-4,-4,-79,-2,7,2
576122,0.07,-0.11,1.00,-0.18,-0.79,0.12,18.00,-2.00,42.00,53.650894,9.698418,4.80,0.04,12,3.85-4,-3,-79,-2,7,2
576228,0.06,-0.07,1.00,-0.18,0.49,0.24,14.00,-4.00,35.00,53.650894,9.698418,4.80,0.04,12,3.85-3,-3,-78,-3,7,2
576328,0.07,-0.09,1.00,0.49,-0.06,-0.49,16.00,-4.00,42.00,53.650894,9.698418,4.80,0.04,12,3.69-3,-3,-75,-2,7,2
576428,0.07,-0.09,1.00,0.00,-0.18,-0.18,15.00,-2.00,43.00,53.650894,9.698418,4.80,0.04,12,3.81-3,-3,-70,-2,7,2
576529,0.07,-0.07,1.00,0.06,0.18,0.55,16.00,-2.00,40.00,53.650902,9.698410,4.80,0.04,12,3.74-2,-2,-59,-2,7,2
576629,0.07,-0.10,1.00,0.12,-0.49,-0.06,13.00,-3.00,40.00,53.650902,9.698410,4.90,0.04,12,3.740,0,-36,-3,7,2
576729,0.07,-0.08,1.00,-0.12,0.37,-0.61,15.00,-1.00,46.00,53.650902,9.698410,4.90,0.13,12,3.832,2,-10,-2,7,2
576829,0.07,-0.08,1.00,0.55,0.18,0.00,17.00,-2.00,40.00,53.650902,9.698410,4.90,0.13,12,3.794,3,12,-3,7,2
576929,0.07,-0.09,1.00,0.18,-0.55,0.49,16.00,-1.00,39.00,53.650902,9.698410,4.90,0.13,12,3.726,5,25,-3,7,2
577029,0.07,-0.09,1.00,-0.24,0.24,0.00,16.00,-3.00,36.00,53.650902,9.698410,4.90,0.13,12,3.826,5,32,-3,7,2
577134,0.06,-0.08,1.00,0.06,-0.24,-0.79,18.00,-3.00,44.00,53.650902,9.698410,4.90,0.13,12,3.936,4,32,-2,7,2
577234,0.07,-0.09,1.00,0.37,0.61,0.18,18.00,-2.00,43.00,53.650902,9.698410,4.90,0.13,12,3.865,4,27,-3,7,2
577334,0.00,-0.09,1.00,0.00,-0.55,0.37,16.00,-3.00,39.00,53.650902,9.698410,4.90,0.13,12,3.855,2,25,-2,7,2
577434,0.04,-0.09,1.00,0.00,-0.06,-0.06,12.00,-1.00,41.00,53.650902,9.698410,4.90,0.13,12,3.705,2,22,-3,7,2
577534,0.07,-0.09,1.00,-0.92,0.00,-0.06,15.00,2.00,42.00,53.650902,9.698410,4.90,0.11,12,3.835,2,11,-2,7,2
577637,0.07,-0.07,0.99,0.12,-0.12,0.37,12.00,-3.00,40.00,53.650902,9.698410,4.90,0.11,12,3.854,3,17,-3,7,2
577737,0.06,-0.09,0.99,0.18,-0.12,0.12,15.00,-4.00,46.00,53.650902,9.698410,4.90,0.11,12,3.824,3,21,-3,7,2
577837,0.06,-0.08,0.99,-0.24,0.06,-0.24,17.00,-2.00,35.00,53.650902,9.698410,4.90,0.41,12,3.804,3,16,-2,7,2
577937,0.06,-0.08,1.00,0.06,0.00,-0.24,16.00,-2.00,40.00,53.650902,9.698410,4.90,0.31,12,3.804,3,15,-3,7,2
578037,0.06,-0.09,1.00,0.24,-0.18,0.31,17.00,-3.00,40.00,53.650902,9.698410,4.90,0.31,12,3.814,3,16,-3,7,2
578137,0.07,-0.09,1.00,0.00,-0.06,0.31,16.00,-4.00,34.00,53.650902,9.698410,4.90,0.31,12,3.794,3,19,-3,7,2
578294,0.06,-0.08,1.00,0.12,0.06,-0.37,17.00,-2.00,40.00,53.650902,9.698411,4.90,0.06,12,3.814,3,16,-3,7,2
578394,0.07,-0.09,1.00,0.00,0.06,0.12,17.00,0.00,41.00,53.650902,9.698411,4.90,0.06,12,3.824,3,11,-3,7,2
578497,0.07,-0.08,1.00,0.06,-0.24,0.18,18.00,0.00,42.00,53.650902,9.698411,4.90,0.30,12,3.824,4,8,-3,7,2
578597,0.07,-0.09,1.00,0.12,-0.06,-0.06,15.00,-1.00,46.00,53.650902,9.698411,4.90,0.30,12,3.854,3,13,-3,7,2
578697,0.06,-0.09,1.00,0.00,0.06,-0.31,16.00,-1.00,38.00,53.650902,9.698411,4.90,0.24,12,3.854,3,13,-2,7,2
578800,0.06,-0.08,1.00,0.06,-0.18,0.12,23.00,-1.00,38.00,53.650902,9.698411,4.90,0.24,12,3.844,3,9,-3,7,2
578900,0.04,-0.09,1.02,0.18,-0.12,0.49,19.00,1.00,40.00,53.650902,9.698411,4.90,0.22,12,3.804,2,6,-2,7,2
579000,0.06,-0.09,1.00,-0.12,0.73,0.00,11.00,-1.00,40.00,53.650902,9.698411,4.90,0.22,12,3.865,2,16,-2,7,2
579100,0.07,-0.07,1.03,-0.43,-0.79,0.12,13.00,-2.00,41.00,53.650902,9.698411,4.90,0.15,12,3.814,4,18,-2,7,2
579200,0.04,-0.06,1.00,0.00,0.73,0.24,17.00,-2.00,41.00,53.650902,9.698411,4.90,0.15,12,3.853,2,14,-3,7,2
