IMU calibration complete.
IMU initialized successfully!
Ready to start!!
Waiting for button to start the program...
New Logging is starting!

magX,magY,magZ

-2.00,25.00,57.00


-2.00,25.00,57.00


-2.00,25.00,57.00


-2.00,25.00,57.00


-4.00,25.00,57.00


-4.00,25.00,57.00


-4.00,25.00,57.00


-4.00,25.00,57.00


-4.00,25.00,57.00


-4.00,25.00,57.00


-4.00,25.00,57.00


-4.00,25.00,57.00


-4.00,24.00,54.00


-4.00,24.00,54.00


-4.00,24.00,54.00


-4.00,24.00,54.00


-4.00,24.00,54.00


-4.00,24.00,54.00


-4.00,24.00,54.00


-2.00,24.00,56.00


-2.00,24.00,56.00


-2.00,24.00,56.00


-2.00,24.00,56.00


-2.00,24.00,56.00


-2.00,24.00,56.00


-2.00,24.00,56.00


-2.00,24.00,56.00


-1.00,27.00,57.00


-1.00,27.00,57.00


-1.00,27.00,57.00


-1.00,27.00,57.00


-1.00,27.00,57.00


-1.00,27.00,57.00


-1.00,27.00,57.00


-3.00,28.00,62.00


-3.00,28.00,62.00


-3.00,28.00,62.00


-3.00,28.00,62.00


-3.00,28.00,62.00


-3.00,28.00,62.00


-3.00,28.00,62.00


-2.00,24.00,57.00


-2.00,24.00,57.00


-2.00,24.00,57.00


-2.00,24.00,57.00


-2.00,24.00,57.00


-2.00,24.00,57.00


-2.00,24.00,57.00


-2.00,24.00,57.00


-2.00,24.00,57.00


-2.00,24.00,57.00


-2.00,25.00,55.00


-2.00,25.00,55.00


-2.00,25.00,55.00


-2.00,25.00,55.00


-2.00,25.00,55.00


-2.00,25.00,55.00


-2.00,25.00,55.00


-2.00,25.00,55.00


-3.00,25.00,54.00


-3.00,25.00,54.00


-3.00,25.00,54.00


-3.00,25.00,54.00


-3.00,25.00,54.00


-3.00,25.00,54.00


-3.00,25.00,54.00


-4.00,24.00,55.00


-4.00,24.00,55.00


-4.00,24.00,55.00


-4.00,24.00,55.00


-4.00,24.00,55.00


-4.00,24.00,55.00


-4.00,24.00,55.00


-4.00,24.00,55.00


-2.00,23.00,58.00


-2.00,23.00,58.00


-2.00,23.00,58.00


-2.00,23.00,58.00


-2.00,23.00,58.00


-2.00,23.00,58.00


-2.00,23.00,58.00


-4.00,25.00,59.00


-4.00,25.00,59.00


-4.00,25.00,59.00


-4.00,25.00,59.00


-4.00,25.00,59.00


-4.00,25.00,59.00


-4.00,25.00,59.00


-4.00,25.00,59.00


-4.00,24.00,57.00


