IMU calibration complete.
IMU initialized successfully!
BARO sensor initialized!
Failed to initialize SD card.
SD card initialized successfully!
Ready to start!!
Waiting for button to start logging...
Button Pressed. logging starting...
Error opening file for logging.
magX,magY,magZ

-12.00,-8.00,28.00


-12.00,-8.00,28.00


-12.00,-9.00,29.00


-12.00,-9.00,29.00


-12.00,-9.00,29.00


-12.00,-9.00,29.00


-16.00,-16.00,27.00


-16.00,-16.00,27.00


-16.00,-16.00,27.00


-14.00,-11.00,28.00


-14.00,-11.00,28.00


-14.00,-11.00,28.00


-14.00,-11.00,28.00


-14.00,-11.00,26.00


-14.00,-11.00,26.00


-14.00,-11.00,26.00


-12.00,-12.00,27.00


-12.00,-12.00,27.00


-12.00,-12.00,27.00


-16.00,-9.00,31.00


-16.00,-9.00,31.00


-16.00,-9.00,31.00


-16.00,-9.00,31.00


-11.00,-12.00,30.00


-11.00,-12.00,30.00


-11.00,-12.00,30.00


-14.00,-11.00,30.00


-14.00,-11.00,30.00


-14.00,-11.00,30.00


-14.00,-11.00,30.00


-15.00,-11.00,29.00


-15.00,-11.00,29.00


-15.00,-11.00,29.00


-14.00,-12.00,30.00


-14.00,-12.00,30.00


-14.00,-12.00,30.00


-13.00,-11.00,31.00


-13.00,-11.00,31.00


-13.00,-11.00,31.00


-13.00,-11.00,31.00


-14.00,-9.00,30.00


-14.00,-9.00,30.00


-14.00,-9.00,30.00


-13.00,-10.00,28.00


-13.00,-10.00,28.00


-13.00,-10.00,28.00


-11.00,-11.00,30.00


-11.00,-11.00,30.00


-11.00,-11.00,30.00


-11.00,-11.00,30.00


-11.00,-8.00,30.00


-11.00,-8.00,30.00


-11.00,-8.00,30.00


-13.00,-12.00,25.00


-13.00,-12.00,25.00


-13.00,-12.00,25.00


-13.00,-12.00,25.00


-13.00,-9.00,29.00


-13.00,-9.00,29.00


-13.00,-9.00,29.00


-13.00,-8.00,28.00


-13.00,-8.00,28.00


-13.00,-8.00,28.00


-14.00,-9.00,27.00


-14.00,-9.00,27.00


-14.00,-9.00,27.00


-14.00,-9.00,27.00


-12.00,-11.00,28.00


-12.00,-11.00,28.00


-12.00,-11.00,28.00


-15.00,-11.00,30.00


-15.00,-11.00,30.00


-15.00,-11.00,30.00


-17.00,-11.00,30.00


-17.00,-11.00,30.00


-17.00,-11.00,30.00


-17.00,-11.00,30.00


-16.00,-11.00,33.00


-16.00,-11.00,33.00


-16.00,-11.00,33.00


-21.00,-9.00,31.00


-21.00,-9.00,31.00


-21.00,-9.00,31.00


-21.00,-9.00,31.00


-24.00,-9.00,32.00


-24.00,-9.00,32.00


-24.00,-9.00,32.00


-30.00,-8.00,32.00


-30.00,-8.00,32.00


-30.00,-8.00,32.00


-37.00,-10.00,37.00


-37.00,-10.00,37.00


-37.00,-10.00,37.00


-37.00,-10.00,37.00


-42.00,-8.00,40.00


-42.00,-8.00,40.00


-42.00,-8.00,40.00


-49.00,-5.00,54.00


-49.00,-5.00,54.00


-49.00,-5.00,54.00


-51.00,-5.00,50.00


-51.00,-5.00,50.00


-51.00,-5.00,50.00


-51.00,-5.00,50.00


-51.00,-9.00,46.00


-51.00,-9.00,46.00


-51.00,-9.00,46.00


-56.00,-11.00,43.00


-56.00,-11.00,43.00


-56.00,-11.00,43.00


-56.00,-11.00,43.00


-56.00,-8.00,38.00


-56.00,-8.00,38.00


-56.00,-8.00,38.00


-57.00,-5.00,45.00


-57.00,-5.00,45.00


-57.00,-5.00,45.00


-57.00,-7.00,43.00


-57.00,-7.00,43.00


-57.00,-7.00,43.00


-57.00,-7.00,43.00


-55.00,-9.00,43.00


-55.00,-9.00,43.00


-55.00,-9.00,43.00


-58.00,-8.00,40.00


-58.00,-8.00,40.00


-58.00,-8.00,40.00


-58.00,-8.00,40.00


-61.00,-9.00,49.00


-61.00,-9.00,49.00


-61.00,-9.00,49.00


-61.00,-6.00,45.00


-61.00,-6.00,45.00


-61.00,-6.00,45.00


-60.00,-11.00,44.00


-60.00,-11.00,44.00


-60.00,-11.00,44.00


-60.00,-11.00,44.00


-33.00,-9.00,35.00


-33.00,-9.00,35.00


-33.00,-9.00,35.00


-17.00,-11.00,28.00


-17.00,-11.00,28.00


-17.00,-11.00,28.00


-15.00,-11.00,35.00


-15.00,-11.00,35.00


-15.00,-11.00,35.00


-15.00,-11.00,35.00


-14.00,-10.00,34.00


-14.00,-10.00,34.00


-14.00,-10.00,34.00


-12.00,-9.00,29.00


-12.00,-9.00,29.00


-12.00,-9.00,29.00


-12.00,-9.00,29.00


-13.00,-10.00,31.00


-13.00,-10.00,31.00


-13.00,-10.00,31.00


-15.00,-10.00,30.00


-15.00,-10.00,30.00


-15.00,-10.00,30.00


-14.00,-12.00,31.00


-14.00,-12.00,31.00


-14.00,-12.00,31.00


-14.00,-12.00,31.00


-13.00,-10.00,29.00


-13.00,-10.00,29.00


-13.00,-10.00,29.00


-14.00,-11.00,31.00


-14.00,-11.00,31.00


-14.00,-11.00,31.00


-11.00,-10.00,25.00


-11.00,-10.00,25.00


-11.00,-10.00,25.00


-11.00,-10.00,25.00


-12.00,-12.00,29.00


-12.00,-12.00,29.00


-12.00,-12.00,29.00


-12.00,-12.00,32.00


-12.00,-12.00,32.00


-12.00,-12.00,32.00


-12.00,-12.00,32.00


-13.00,-9.00,25.00


-13.00,-9.00,25.00


-13.00,-9.00,25.00


-14.00,-12.00,28.00


-14.00,-12.00,28.00


-14.00,-12.00,28.00


-12.00,-12.00,29.00


-12.00,-12.00,29.00


-12.00,-12.00,29.00


-12.00,-12.00,29.00


-13.00,-10.00,29.00


-13.00,-10.00,29.00


-13.00,-10.00,29.00


-14.00,-9.00,28.00


-14.00,-9.00,28.00


-14.00,-9.00,28.00

