IMU calibration complete.
IMU initialized successfully!
BARO sensor initialized!
Failed to initialize SD card.
SD card initialized successfully!
Ready to start!!
Waiting for button to start logging...
Button Pressed. logging starting...
Error opening file for logging.
magX,magY,magZ

-18.00,-10.00,25.00


-18.00,-10.00,25.00


-18.00,-10.00,25.00


-18.00,-11.00,28.00


-18.00,-11.00,28.00


-18.00,-11.00,28.00


-21.00,-8.00,27.00


-21.00,-8.00,27.00


-21.00,-8.00,27.00


-21.00,-8.00,27.00


-21.00,-8.00,27.00


-21.00,-8.00,27.00


-21.00,-8.00,27.00


-23.00,-9.00,28.00


-23.00,-9.00,28.00


-23.00,-9.00,28.00


-22.00,-9.00,30.00


-22.00,-9.00,30.00


-22.00,-9.00,30.00


-22.00,-7.00,27.00


-22.00,-7.00,27.00


-22.00,-7.00,27.00


-22.00,-7.00,27.00


-22.00,-8.00,28.00


-22.00,-8.00,28.00


-22.00,-8.00,28.00


-19.00,-10.00,35.00


-19.00,-10.00,35.00


-19.00,-10.00,35.00


-19.00,-10.00,35.00


-22.00,-8.00,29.00


-22.00,-8.00,29.00


-22.00,-8.00,29.00


-22.00,-8.00,27.00


-22.00,-8.00,27.00


-22.00,-8.00,27.00


-20.00,-12.00,30.00


-20.00,-12.00,30.00


-20.00,-12.00,30.00


-20.00,-12.00,30.00


-21.00,-10.00,25.00


-21.00,-10.00,25.00


-21.00,-10.00,25.00


-15.00,-10.00,26.00


-15.00,-10.00,26.00


-15.00,-10.00,26.00


-5.00,-11.00,26.00


-5.00,-11.00,26.00


-5.00,-11.00,26.00


-5.00,-11.00,26.00


-16.00,-11.00,30.00


-16.00,-11.00,30.00


-16.00,-11.00,30.00


-32.00,-14.00,25.00


-32.00,-14.00,25.00


-32.00,-14.00,25.00


-32.00,-14.00,25.00


-39.00,-14.00,20.00


-39.00,-14.00,20.00


-39.00,-14.00,20.00


-47.00,-15.00,18.00


-47.00,-15.00,18.00


-47.00,-15.00,18.00


-56.00,-12.00,12.00


-56.00,-12.00,12.00


-56.00,-12.00,12.00


-56.00,-12.00,12.00


-56.00,-19.00,10.00


-56.00,-19.00,10.00


-56.00,-19.00,10.00


-48.00,-13.00,20.00


-48.00,-13.00,20.00


-48.00,-13.00,20.00


-22.00,-16.00,31.00


-22.00,-16.00,31.00


-22.00,-16.00,31.00


-22.00,-16.00,31.00


-11.00,-14.00,25.00


-11.00,-14.00,25.00


-11.00,-14.00,25.00


8.00,-10.00,18.00


8.00,-10.00,18.00


8.00,-10.00,18.00


8.00,-10.00,18.00


10.00,-6.00,18.00


10.00,-6.00,18.00


10.00,-6.00,18.00


5.00,-8.00,19.00


5.00,-8.00,19.00


5.00,-8.00,19.00


1.00,-6.00,27.00


1.00,-6.00,27.00


1.00,-6.00,27.00


1.00,-6.00,27.00


-8.00,-9.00,30.00


-8.00,-9.00,30.00


-8.00,-9.00,30.00


-13.00,-9.00,28.00


-13.00,-9.00,28.00


-13.00,-9.00,28.00


-13.00,-9.00,28.00


-15.00,-9.00,33.00


-15.00,-9.00,33.00


-15.00,-9.00,33.00


-15.00,-14.00,27.00


-15.00,-14.00,27.00


-15.00,-14.00,27.00


-14.00,-10.00,29.00


-14.00,-10.00,29.00


-14.00,-10.00,29.00


