timestamp,adjusted,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,latitude,longitude,gpsAltitude,Speed,SatCount,roll,pitch,yaw,pressure,temperature,paltitude
112495,0,-0.07,-0.09,1.02,0.37,-0.31,-0.12,-48,44,94,53.393185,10.314932,-2.9,0.46,12,0,0,0,101.47,0,-24.48
112631,0.136,-0.07,-0.09,1.02,0.73,-0.24,-0.12,-47,44,92,53.393185,10.314932,-2.9,0.46,12,0,0,0,101.47,0,-24.46
112669,0.174,-0.07,-0.08,1.02,0.37,-0.37,-0.12,-47,44,92,53.393185,10.314932,-2.9,0.46,12,0,0,0,101.47,0,-24.14
112708,0.213,-0.07,-0.08,1.03,0.79,-0.24,-0.31,-47,44,92,53.393185,10.314932,-2.9,0.46,12,0,0,0,101.47,0,-23.8
112747,0.252,-0.07,-0.08,1.02,0.12,-0.43,-0.31,-45,42,95,53.393185,10.314932,-2.9,0.46,12,0,0,0,101.47,0,-24.14
112786,0.291,-0.07,-0.09,1.02,0.37,-0.43,-0.18,-45,42,95,53.393185,10.314932,-2.9,0.46,12,0,0,0,101.47,0,-23.98
112826,0.331,-0.07,-0.09,1.02,0.31,-0.31,-0.18,-48,44,94,53.393185,10.314932,-2.9,0.46,12,0,0,0,101.47,0,-23.76
112864,0.369,-0.07,-0.09,1.02,-0.18,-0.55,-0.06,-48,44,94,53.393185,10.314932,-2.9,0.46,12,0,0,0,101.47,0,-24.02
112902,0.407,-0.07,-0.08,1.02,0.43,-0.31,-0.24,-48,44,94,53.393185,10.314932,-2.9,0.46,12,0,0,0,101.47,0,-24.18
112942,0.447,-0.07,-0.08,1.03,-0.37,-0.55,-0.12,-47,41,92,53.393185,10.314932,-2.9,0.46,12,0,0,0,101.47,0,-24.54
112981,0.486,-0.07,-0.09,1.02,0.49,-0.31,-0.12,-47,41,92,53.393185,10.314932,-2.9,0.46,12,0,0,0,101.47,0,-24.68
113020,0.525,-0.07,-0.08,1.02,0.31,-0.31,-0.12,-50,43,92,53.393188,10.314932,-2.9,0.24,12,0,0,0,101.47,0,-24.18
113059,0.564,-0.07,-0.09,1.02,0.37,-0.24,-0.24,-50,43,92,53.393188,10.314932,-2.9,0.24,12,0,0,0,101.47,0,-24.3
113097,0.602,-0.07,-0.09,1.02,0.43,-0.31,-0.24,-50,43,92,53.393188,10.314932,-2.9,0.24,12,0,0,0,101.47,0,-24.1
113137,0.642,-0.07,-0.09,1.03,0.12,-0.37,-0.18,-48,44,90,53.393188,10.314932,-2.9,0.17,12,0,0,0,101.47,0,-24.38
113176,0.681,-0.07,-0.09,1.02,-0.06,-0.31,-0.12,-48,44,90,53.393188,10.314932,-2.9,0.17,12,0,0,0,101.47,0,-24.42
113215,0.72,-0.07,-0.09,1.02,0.31,-0.31,-0.12,-48,44,90,53.393188,10.314932,-2.9,0.17,12,0,0,0,101.48,0,-24.96
113256,0.761,-0.07,-0.09,1.02,0.49,-0.31,-0.18,-50,42,88,53.393188,10.314932,-2.9,0.06,12,0,0,0,101.47,0,-23.74
113294,0.799,-0.07,-0.08,1.02,0.43,-0.31,-0.18,-50,42,88,53.393188,10.314932,-2.9,0.06,12,0,0,0,101.47,0,-24.42
113334,0.839,-0.07,-0.09,1.02,0.12,-0.43,-0.12,-48,42,96,53.393188,10.314932,-2.9,0.06,12,0,0,0,101.48,0,-25.12
113374,0.879,-0.07,-0.09,1.02,0.18,-0.43,-0.12,-48,42,96,53.393188,10.314932,-2.8,0.06,12,0,0,0,101.47,0,-24.02
113413,0.918,-0.07,-0.09,1.02,0.24,-0.31,-0.24,-48,42,96,53.393188,10.314932,-2.8,0.06,12,0,0,0,101.47,0,-24.36
